zygGene,RNA
aat-9,33.718
alh-10,66.556
alh-12,194.771
aqp-2,88.092
asm-1,283.348
asp-4,54.197
atf-5,66.334
cdt-1,149.465
ceh-13,282.438
chd-3,38.436
cht-1,429.356
ckc-1,283.099
col-86,46.34
cpin-1,28.367
crn-6,147.215
ctn-1,34.66
dao-2,90.612
dhs-4,155.362
dhs-8,39.813
dnj-20,29.55
dpy-14,170.257
dpy-17,634.6
dpy-18,36.195
dpy-27,25.695
dpy-28,25.271
dsl-1,273.179
dyb-1,39.516
dys-1,101.596
eat-16,35.878
bcat-1,148.765
efn-4,37.018
elo-9,90.731
end-1,777.411
end-3,54.042
fat-3,95.79
fkb-4,31.375
fkb-7,27.437
fkh-4,78.469
fkh-5,200.553
flp-10,30.968
fmo-3,55.571
fmo-5,163.116
ftn-2,723.532
gbh-2,29.357
gln-3,268.807
R07B1.8,30.817
glr-4,52.835
gly-11,52.574
gpa-1,31.147
grk-2,31.354
grl-26,62.084
gst-30,150.488
gst-42,183.817
hgo-1,234.474
hid-1,76.967
hil-3,129.699
his-2,36.221
his-3,310.692
his-4,95.954
his-18,28.636
his-24,179.803
his-31,453.68
hmg-11,246.996
hsp-25,74.873
hum-8,26.483
iff-2,90.325
ins-19,28.861
kin-32,44.356
kqt-1,103.8
lam-1,59.7
lbp-3,90.57
let-19,28.597
lin-2,39.877
lin-13,34.064
lin-33,42.802
lin-39,31.593
mab-5,55.939
mab-20,27.092
mac-1,29.9
mel-28,28.906
mif-2,44.411
moe-3,34.779
msi-1,90.407
nas-7,49.594
nex-2,53.473
nhr-31,31.815
nhr-45,50.953
nhr-53,26.126
nhr-57,226.697
nhr-64,25.951
nhr-68,56.417
nhr-89,28.233
nhr-91,84.394
nhr-102,158.126
nhr-114,89.946
nhr-132,26.367
nhr-135,35.887
nlp-17,72.926
nlp-19,34.712
nlp-31,1221.945
nob-1,35.315
nsy-1,72.964
odc-1,225.073
WBGene00003979,29.696
pes-10,172.954
pgp-2,295.145
pgp-4,58.499
ppt-1,364.668
pqn-10,36.292
pqn-62,29.91
pqn-68,30.764
pqn-75,59.745
prx-1,48.038
prx-2,83.66
prx-3,873.928
prx-5,169.054
prx-12,122.15
rab-19,25.431
rpl-11.2,27.299
rpl-25.1,44.574
rpl-39,191.289
rps-6,39.121
rps-21,110.113
rsp-7,27.432
rsr-1,68.876
sdc-1,42.013
sdc-2,32.038
sea-2,34.964
sek-1,33.198
skr-8,1971.318
skr-9,1706.244
skr-10,1478.598
skr-12,879.69
skr-13,760.967
skr-19,50.87
sls-2.6,96.913
sls-2.7,28.233
sma-9,25.746
F26F4.8,50.781
srd-52,45.092
srh-87,29.751
srh-217,58.817
srh-298,26.417
sri-20,115.496
srj-9,48.413
srj-10,40.631
srj-44,25.147
srp-2,52.415
srw-76,47.856
srx-5,41.29
str-148,63.875
sys-1,40.054
tag-10,51.578
sams-5,29.716
tag-53,52.938
tag-68,70.493
tbx-8,26.106
tir-1,28.585
try-6,46.331
twk-14,56.045
unc-44,26.512
unc-103,31.611
ver-2,32.915
ver-3,49.688
vet-6,451.116
vhp-1,97.047
wee-1.1,31.163
wee-1.2,43.65
sod-5,180.57
ugt-49,318.807
ugt-1,46.785
AH10.2,46.403
trx-2,59.557
fbxb-119,774.123
nlp-38,128.377
C01G10.9,116.954
C01G12.3,31.86
C01H6.2,27.331
C05D12.4,164.15
C05D12.5,167.776
C05G5.5,95.426
C06H5.7,310.563
C07E3.8,43.606
C07E3.9,37.506
fbxb-9,48.004
C09G1.5,95.115
C10C5.3,178.219
C10C5.4,224.273
C10C5.5,189.062
C10C6.7,71.978
C13C4.6,90.362
C17E4.2,207.933
C17G1.2,43.526
ugt-23,444.124
C17G1.7,392.432
C18D11.1,41.749
maa-1,97.355
C25G4.10,95.057
C27C7.7,148.046
C28D4.10,89.288
C29F7.2,955.982
fbxa-167,50.102
C31H5.5,114.924
C33A12.12,175.819
C33D9.8,112.566
lgc-21,40.249
C33G3.4,283.379
C36A4.10,173.181
fbxa-172,58.597
C38D9.8,318.354
C40H5.2,59.558
C47D12.4,620.471
C47D12.5,25.63
C48D1.1,197.093
C49A1.10,36.265
C53D6.5,27.804
D1025.1,28.634
D1025.2,73.782
D2045.7,41.476
D2045.9,58.77
E01G4.5,147.641
F01D5.10,34.78
F07A11.5,117.224
srbc-61,39.922
F08H9.3,143.634
F09B9.5,34.084
fbxb-68,59.171
F09C8.2,63.851
F10D11.4,122.16
F11E6.1,60.079
F11E6.9,49.647
F12F6.8,39.268
sdz-13,160.633
F13E9.11,118.174
sdz-14,535.585
F14B6.3,699.684
acp-2,878.644
nhr-176,55.868
F17C11.12,27.973
F17H10.2,30.98
F17H10.3,162.04
srz-16,46.796
F19C6.5,187.494
F19H6.6,34.606
F21D9.6,62.246
cth-1,181.432
F22G12.3,43.918
F23A7.6,62.671
F23D12.5,31.278
fipr-2,189.564
F25H2.12,49.577
F26D10.11,44.989
clec-196,1633.639
sdz-16,375.185
uig-1,48.725
F35C11.6,59.49
F35E2.2,33.976
F35E2.8,205.868
F35E2.9,62.605
F36A2.3,233.338
F36G3.2,84.783
F37D6.4,1178.707
F37H8.5,203.831
F38A1.8,26.668
F38B2.4,153.431
ccch-2,160.724
F38C2.7,47.939
fbxb-3,210.9
psa-3,280.342
F40G12.4,29.916
F42F12.4,190.377
F43G6.5,230.311
F44F1.4,67.817
F44F1.5,266.273
F44F4.1,28.696
F45D3.1,550.367
F45D3.3,43.716
lips-1,40.798
drr-1,182.621
fbxb-67,253.386
F49H6.5,65.869
ztf-11,39.132
F52H3.5,139.094
F52H3.6,50.069
F53A2.3,59.011
F55B11.1,61.781
fbxb-57,73.632
F55C9.5,185.06
fbxb-60,224.784
fbxb-62,71.255
fbxb-61,362.147
F55G7.2,35.996
F56C4.1,101.861
nhr-192,29.016
F57B1.5,95.764
nhr-193,64.511
F57G9.3,243.787
F59A1.10,368.475
glo-3,189.968
H04D03.4,172.781
H40L08.3,34.997
dph-3,38.357
K02E2.6,112.625
K03A11.1,93.307
K04B12.2,48.264
K04G2.9,34.051
K05C4.8,82.662
K05C4.9,39.558
K05C4.11,32.253
K08C9.7,100.047
K08H2.2,167.826
K09C8.7,30.798
K10D6.4,203.299
sepa-1,601.306
M01F1.3,84.686
M03B6.3,28.732
M03C11.6,25.084
M79.2,26.061
ugt-62,52.662
fbxb-4,191.393
M153.1,499.378
R03A10.3,146.105
sdz-26,297.811
R06C1.4,742.22
glo-1,152.921
R07B7.5,40.509
gana-1,357.369
R07E3.7,97.401
sdz-27,4697.422
R07H5.9,33.234
R08D7.7,30.754
R09H10.3,108.691
R10D12.1,37.966
R11.4,413.556
R11A5.3,2071.38
fbxb-85,166.646
T01H3.5,31.859
T01H8.2,463.451
T01H10.8,25.116
T02C1.1,30.727
T04A8.13,47.556
sdz-30,468.177
T05D4.2,197.426
T05H10.3,104.467
fbxa-104,240.511
T08G5.3,111.709
T10B10.4,33.91
sdz-31,173.643
T15H9.6,327.141
cyp-29A2,61.947
T19B10.2,309.944
T19C4.1,47.39
T20G5.4,209.33
dod-6,284.68
T21C12.4,38.863
T22C8.4,37.106
srsx-19,29.157
pgrn-1,30.772
alh-13,1055.693
T26E3.5,897.826
T26E3.8,810.332
T26F2.2,119.823
fbxb-2,146.155
T27E9.2,27.015
T27E9.6,119.934
fbxb-86,37.714
clec-12,43.813
T28C6.8,29.067
VH15N14R.1,63.614
W02B8.2,58.908
W04A8.3,216.564
W04A8.4,88.714
nspa-8,120.306
W06D4.2,105.034
Y7A9D.1,53.123
Y11D7A.3,97.079
Y15E3A.5,205.896
Y18D10A.3,25.239
Y19D2B.2,140.773
nhr-232,134.357
Y24F12A.3,78.405
Y24F12A.4,128.206
Y37D8A.3,82.236
Y37D8A.10,31.042
Y38E10A.3,76.683
Y38E10A.14,25.554
Y39A1A.16,101.508
Y39A1A.18,52.491
Y39G8B.1,53.665
Y44A6C.2,86.821
Y45F10B.15,48.043
Y46G5A.4,25.071
Y46G5A.7,311.821
bcmo-1,102.649
Y46G5A.28,436.267
Y46G5A.34,72.841
Y47D3A.1,32.789
Y47H10A.2,26.091
ztf-22,25.951
Y49A3A.4,55.105
Y51A2D.7,41.757
Y53C10A.5,161.569
Y53F4B.39,191.766
Y54E5A.1,59.842
Y54E5B.2,49.025
fbxb-22,500.227
sdz-33,564.62
fbxb-24,452.853
Y56A3A.33,76.539
Y57A10A.14,52.718
Y57A10A.26,63.458
Y57A10C.1,105.767
Y59A8B.8,40.57
fbxa-106,45.284
lon-8,39.939
Y62F5A.9,29.693
Y62H9A.11,51.109
fbxb-93,112.361
fbxb-56,30.186
fbxb-94,358.41
Y65A5A.1,868.624
ztf-29,203.864
hex-5,220.172
Y71A12B.11,379.882
Y75B12A.2,89.078
acs-5,71.789
ceh-51,27.246
Y105C5B.8,26.2
Y105C5B.9,233.7
sams-2,434.791
Y105E8A.1,67.071
Y105E8B.6,51.594
Y105E8B.9,151.071
Y106G6D.1,502.107
Y106G6D.2,971.261
Y106G6H.4,250.29
Y111B2A.12,31.503
ftr-1,62.112
fbxb-59,150.71
Y116A8B.1,699.775
Y116A8C.19,106.477
Y116A8C.22,182.585
