zygGene,RNA
atl-1,40.732
cdt-1,38.846
cpi-1,40.172
cls-2,44.714
cpin-1,43.464
dhs-8,44.486
dpy-27,31.87
dpy-28,29.284
dys-1,33.856
end-3,60.748
fkb-7,40.46
fkh-5,50.808
gpa-1,56.286
gpr-2,36.55
gst-30,62.812
gst-32,35.782
hil-1,25.122
hlh-16,43.484
hsp-16.41,44.088
hst-3.1,29.708
ins-37,43.484
kin-14,62.332
lbp-5,26.456
lin-13,25.342
med-1,64.446
med-2,159.176
nhr-32,48.2
nhr-57,29.064
nhr-104,25.616
nsy-1,38.824
pes-10,88.202
pqn-68,25.77
pqn-85,25.768
pqn-89,30.544
ptp-3,30.018
rgs-10,48.31
rpl-11.2,44.494
rpl-39,31.318
rps-6,36.786
sax-2,37.986
sdc-1,30.632
skr-8,75.158
skr-9,71.182
skr-10,97.598
skr-13,79.102
snt-2,28.264
F26F4.8,62.256
str-148,53.462
tag-53,39.94
tbx-32,93.688
tbx-39,64.988
tbx-40,77.368
unc-44,25.608
vav-1,46.284
vet-6,32.796
AH10.2,362.662
fbxb-119,30.488
C01A2.2,71.248
C01G12.3,29.592
C05D12.5,38.364
C09G5.8,26.736
C26D10.3,27.528
C35D6.3,39.366
C35D6.4,43.542
set-5,28.178
C55A6.3,27.74
sdz-8,39.08
mfb-1,27.656
E01B7.1,36.542
E01G4.5,64.456
din-1,30.662
F08H9.3,90.458
F14B6.3,94.042
F15D3.6,26.14
F20C5.6,25.752
F21G4.5,30.06
F23D12.2,27.718
F25H2.12,35.936
acs-20,44.248
F28H7.4,38.316
ccch-2,129.09
F38C2.7,40.538
F43G6.5,66.27
F45D3.1,52.534
F45G2.9,34.832
fipr-26,35.794
F54B3.1,34.806
F56D5.3,85.238
F58A4.1,31.02
F58E6.6,264.166
F58E6.8,67.926
F58E10.7,59.69
F58G11.2,33.478
F59F4.3,25.826
H03A11.1,25.282
K08H2.4,27.364
sepa-1,32.754
M01F1.3,29.176
M02B1.2,35.87
tag-260,55.468
R06C1.4,89.446
R06C7.6,60.388
R09A8.1,51.01
R10E4.3,32.644
R11A5.3,69.432
R186.6,31.146
sdz-30,28.158
T14G10.8,29.248
T15H9.6,48.472
T23G11.1,43.73
T26E3.5,72.486
T26E3.8,27.674
fbxb-86,67.546
Y7A9D.1,30.616
Y41C4A.17,29.71
Y43D4A.6,101.904
Y44A6C.2,142.478
Y46G5A.28,142.352
ztf-22,50.94
Y50E8A.11,461.628
smg-9,32.998
tbc-20,25.066
Y60A9.2,141.436
Y71A12B.11,29.614
Y75B12A.2,386.408
atg-4.1,41.214
Y106G6D.2,30.826
Y111B2A.1,29
ftr-1,27.838
Y116A8B.1,25.438
dct-13,28.618
Y116A8C.19,69.79
Y116A8C.20,117.436
Y116A8C.22,44.86
fbxa-49,41.836
ZC373.1,25.99
ZK637.4,43.442
ZK666.1,226.178
ZK666.4,147.892
gld-4,30.302
ZK899.6,28.022
ZK1053.4,45.986
Y70G10A.1,157.368
faah-2,58.86
B0261.6,27.658
sdz-1,541.474
B0303.14,33.744
B0410.3,58.348
C03B1.7,26.286
C06G3.9,38.47
C07A12.7,32.102
egal-1,25.342
C10G11.10,29.994
cgef-2,49.4
C16D9.6,44.564
C17H11.6,27.748
elt-7,72.886
C29G2.1,28.666
fbxc-41,35.378
fbxb-88,38.178
C35E7.11,57.914
C39B5.6,25.764
C44B7.11,39.094
sdz-7,25.874
D1007.15,25.994
D2092.4,37.688
fbxb-80,87.836
EEED8.4,40.916
EEED8.12,35.554
gos-28,47.562
F09F7.7,39.366
F18E3.11,114.722
sdz-15,83.288
F29G9.7,40.62
F36A4.3,29.634
F40G9.14,38.09
nhr-142,43.448
btb-9,59.094
tag-257,41.614
F47D12.5,38.88
fbxb-103,67.504
sdz-21,127.008
F56D1.2,25.948
fbxb-17,172.378
ugt-13,31.166
fbxb-50,25.174
K05F6.4,37.194
K10C2.3,33.436
M03A1.3,31.56
fbxb-31,29.882
kin-34,27.846
R08C7.12,64.266
R12B2.2,30.608
pcf-11,29.358
clec-53,33.44
T07F8.4,25.248
T08A9.6,210.26
T08B6.5,91.224
T14G11.1,25.43
T19D12.3,31.408
T21F4.1,47.536
T22B2.1,70.882
T23B3.6,55.678
T24C4.2,34.92
sknr-1,44.074
W04B5.3,40.488
W06H8.2,35.284
Y5H2B.3,203.648
Y25C1A.6,87.18
Y34D9A.3,51.45
pnc-1,28.454
epg-2,58.89
Y41D4B.14,104.342
Y42G9A.3,44.246
Y43H11AL.2,31.926
Y47G6A.3,34.426
Y54F10AR.1,33.068
Y57G7A.2,39.556
Y61A9LA.3,25.134
ppfr-4,31.534
Y73C8C.3,28.718
Y110A2AL.1,37.124
srt-13,25.91
fbxb-15,32.44
ZK354.3,25.456
cth-2,105.27
ZK1127.12,27.672
D1005.t1,82.258
ZK380.t2,229.256
F32E10.9,34.41
F28H6.8,122.972
fbxb-63,36.21
H37A05.4,47.802
F46C3.4,41.972
ZK402.6,129.996
F18E3.13,52.07
T05E12.8,79.438
E01G4.7,68.016
F56F4.8,137.858
R05D7.7,30.456
C01G10.19,30.364
T05E12.10,473.454
F56A8.9,25.478
W10D9.6,33.926
C36A4.14,27.842
Y57G11C.1134,96.212
Y37E3.25,130.926
C16C8.20,44.088
C10H11.11,49.938
H08J11.4,26.042
H08J11.10,25.128
WBGene00206487,26.828
