zygGene,RNA
aat-1,40
alg-1,41.472
alh-11,74.928
aqp-11,28.102
brp-1,27.824
btf-1,27.744
cdt-1,49.898
chd-3,34.41
cht-1,31.154
cnd-1,201.56
col-63,88.236
crh-1,31.548
csk-1,56.294
ctn-1,48.478
dhc-1,33.476
dpy-18,38.924
dpy-28,29
dsl-1,164.578
eat-16,45.496
elt-6,44.724
end-1,323.266
end-3,550.406
far-5,25.85
fkh-4,139.062
fkh-5,262.194
flr-4,35.46
fmo-3,59.924
gly-11,29.184
gpa-1,31.582
gst-10,59.338
gst-30,117.986
her-1,27.488
hid-1,32.548
hil-3,33.204
his-4,107.796
his-8,28.434
his-24,28.282
his-31,178.42
hmg-11,64.652
hot-2,25.538
hot-4,31.878
hum-4,27.332
hum-5,37.81
ins-18,35.838
ins-34,85.142
ins-37,123.586
irk-3,52.312
kin-9,45.818
kin-25,25.86
klp-6,26.218
klp-20,27.202
lec-4,55.142
let-4,25.062
let-19,36.534
lin-12,35.104
mab-20,37.222
med-1,61.174
mir-260,40.432
mrp-1,39.97
nhr-57,31.69
nlp-11,41.96
nrf-6,42.106
nsy-1,26.374
odc-1,85.388
WBGene00003979,37.02
pes-10,377.79
pgp-4,67.516
phf-5,43.16
ppt-1,35.724
pqn-10,91.206
pqn-46,26.838
pqn-75,28.45
rme-6,28.196
rpl-11.2,88.168
rpl-39,102.014
rps-6,108.22
rps-21,88.018
rsr-1,36.508
skr-8,534.372
skr-9,423.622
skr-10,690.486
skr-12,155.57
skr-13,299.798
skr-20,45.788
sls-2.7,35.852
snt-4,26.554
srd-42,70.758
srh-220,50.006
srw-36,28.428
srx-7,38.072
srx-74,42.458
srx-92,44.984
str-145,30.724
str-148,30.874
sup-6,29.152
tag-53,29.122
tbx-35,39.026
tnc-2,53.464
tra-1,72.086
unc-34,31.188
vet-6,274.298
wee-1.1,165.674
wee-1.2,26.04
zig-5,27.022
zyx-1,75.284
ugt-49,32.454
AH10.2,250.62
fbxb-119,232.584
C01G12.3,200.65
nspb-9,25.296
C05D12.4,200.89
C05D12.5,386.108
C05G5.2,40.226
C06C3.7,28.66
C07C7.1,69.456
C09G5.8,582.564
C23H4.6,29.28
C25D7.15,45.302
nlp-35,85.57
C33A12.12,75.584
C34E7.4,28.808
C35D6.3,387.944
C35D6.4,110.202
C40H5.2,51.862
C41G7.6,30.368
athp-1,56.836
C46E1.3,29.332
sfxn-1.4,41.288
C47D12.4,112.99
set-5,32.748
C48D1.1,34.21
C54G4.5,37.542
C55A6.11,44.702
D2030.12,83.756
E01B7.1,26.388
E01G4.5,306.99
E03A3.5,84.59
E03H4.8,36.89
din-1,85.072
F08G5.3,35.242
F08H9.2,40.282
F08H9.3,63.094
F11C1.5,59.914
F12F6.8,46.784
sdz-13,416.78
F13G3.6,139.848
sdz-14,269.588
F14B6.3,173.378
F14D7.5,35.622
F14D7.6,65.604
lips-10,25.71
F17H10.3,44.794
F20C5.6,113.798
F21D9.5,37.978
F22G12.3,43.64
F23A7.6,46.396
fipr-2,47.65
F25D7.5,40.93
clec-196,91.7
acs-20,43.62
F29C6.1,43.248
sdz-16,56.07
F36D1.9,36.244
F36G3.2,56.046
fbxa-99,40.424
F37D6.4,56.168
C02B4.t1,39.5
ccch-2,94.442
F38C2.7,102.044
F43G6.5,313.984
F44F1.4,71.948
F45D3.1,429.486
F45D3.2,53.552
lgc-47,45.824
ztf-11,273.31
fipr-26,54.308
F53H2.3,30.086
F54B11.10,50.966
F54D5.15,27.498
fbxb-117,103.494
fbxb-57,131.476
F55C9.5,44.324
fbxb-60,63.65
fbxb-62,130.612
fbxb-61,122.912
F55G7.2,89.472
F56H6.1,48.79
F56H6.2,46.206
btb-20,27.554
F58D5.5,36.378
F58D5.7,54.318
F58E6.7,282.456
F58G1.7,40.648
H04D03.4,92.92
JC8.4,42.504
wdr-5.2,31.082
K08H2.2,476.85
K08H2.4,96.284
K09A11.1,28.022
K11D2.1,25.51
K11D2.5,49.708
sepa-1,331.466
M03C11.6,28.004
M162.6,27.902
sdz-26,73.888
R06C1.4,264.71
sdz-27,791.016
R11.4,122.204
R11A5.3,490.504
fbxb-85,187.658
R90.1,28.826
T02C1.1,37.134
T02D1.6,45.42
T03D8.2,35.904
sdz-30,144.114
T05D4.2,158.868
fbxa-104,103.49
T08G5.3,130.064
ztf-27,42.296
sdz-31,988.358
T12G3.4,26.828
ttr-54,54.966
T15H9.5,36.322
T15H9.6,111.016
T18D3.7,154.576
dod-6,86.614
T22C8.4,72.81
alh-13,94.482
T23G11.6,37.13
T26E3.5,448.538
T26E3.8,143.794
fbxb-2,216.052
T27A8.1,66.964
T27E9.2,31.378
T27E9.6,109.212
T28C6.8,39.258
T28H10.1,63.71
VH15N14R.1,43.338
W02B8.2,101.578
W02B12.11,44.774
W05E10.5,26.066
nspa-8,32.358
W06B3.1,41.728
W06D4.2,82.018
W06D4.3,33.13
W09D10.4,25.554
Y6G8.2,26.506
Y7A9D.1,49.214
Y19D2B.2,182.4
Y24F12A.3,25.954
Y24F12A.4,51.088
Y32F6B.1,46.452
Y37D8A.10,25.664
Y37D8A.16,33.014
Y38E10A.3,404.288
nspe-3,31.622
Y38F1A.8,25.896
Y38H6C.15,72.688
Y38H8A.5,35.43
Y39A1A.16,138.718
Y39A1A.17,30.994
Y39B6A.34,50.18
Y44A6C.2,381.532
lact-9,34.356
tbc-17,36.044
Y46G5A.7,199.412
Y46G5A.28,469.166
obr-1,26.576
Y47D3A.21,51.898
Y47D3A.22,35.41
Y49A3A.4,115.968
Y50E8A.11,350.584
Y53F4B.14,30.19
sdz-33,130.644
fbxb-24,93.194
Y56A3A.33,81.104
Y57A10A.26,30.498
Y57A10C.1,67.35
Y57G11C.6,32.484
Y59A8B.8,28.674
Y60A9.2,140.054
Y60A9.3,119.284
fbxb-93,31.664
fbxb-94,163.69
Y66D12A.6,30.448
Y71A12B.11,72.206
Y75B8A.7,28.878
Y75B12A.2,297.334
gcn-2,34.72
atg-4.1,29.842
cand-1,35.39
fbxa-90,28.24
Y105C5A.25,62.454
sams-2,82.454
Y105E8B.6,43.024
Y106G6D.1,130.506
Y106G6D.2,437.218
ftr-1,43.404
fbxb-59,93.466
Y116A8B.1,225.248
Y116A8C.5,92.542
dct-13,308.898
Y116A8C.19,427.126
Y116A8C.20,143.622
Y116A8C.22,306.624
ZC443.3,76.818
ZK637.15,83.914
ZK666.1,137.888
ZK666.4,77.896
ZK822.2,26.578
gld-4,33.196
sdz-38,57.044
ZK899.2,65.934
ZK899.6,408.134
ZK1010.8,29.736
ZK1053.3,53.07
ZK1053.4,93.33
ZK1098.6,29.162
F08G2.11,39.572
T05E11.9,56.708
ZK1010.t1,27.23
F22B8.2,31.752
F59C6.10,55.562
M142.3,92.714
T09F5.12,52.516
Y38H6A.4,228.464
Y49E10.26,92.12
Y51B9A.2,25.536
Y70G10A.1,145.924
Y116A8C.7,291.684
faah-1,36.094
sdz-1,1539.996
B0303.14,247.226
B0310.1,76.672
B0410.3,111.154
B0511.11,44.526
C07A12.7,116.808
sdz-2,36.19
btb-15,132.396
bath-33,87.826
fbxb-13,28.298
C08F1.6,94.256
C09D4.2,32.918
C10F3.4,25.686
C10G11.10,28.072
C13A10.2,36.39
C13B9.2,43.648
sfxn-2,62.41
C17F4.2,38.834
C17F4.8,54.19
C18A3.9,33.718
C18H2.3,29.216
nmur-4,56.764
fbxc-57,36.286
fbxc-18,103.012
sdz-4,73.146
tag-312,25.13
C33E10.1,96.942
C35B1.5,66.302
C35E7.3,33.68
C35E7.11,165.15
C39B5.2,34.188
C40A11.7,158.05
C40A11.10,106.232
sdz-5,63.296
C44E4.1,53.366
C46E10.8,108.938
phat-2,49.574
sdz-7,225.654
dop-4,27.082
fbxb-97,42.584
C53A3.1,29.22
kin-33,233.484
EEED8.4,284.924
EEED8.12,236.228
F07E5.5,26.17
fbxb-105,49.514
sdz-10,77.756
sdz-9,213.842
F09E5.16,102.424
ugt-38,56.398
F10G7.10,29.076
bath-31,274.08
F13H8.8,47.638
F14H12.6,80.722
F15E6.9,45.2
F19F10.1,379.998
F19F10.5,41.578
F22E5.20,79.948
sdz-15,513.688
nspd-9,35.108
clec-157,32.152
F27C1.4,31.52
fbxb-107,71.154
fbxc-37,171.188
F35D11.3,101.042
F36F12.3,44.124
F36F12.4,187.45
fbxb-53,72.87
F36H5.10,55.248
fbxb-12,82.45
F39F10.4,857.652
F40G9.9,112.328
F40G9.12,155.216
F40H3.6,188.986
F41B4.3,31.838
F43C11.10,30.678
fbxb-11,182.002
btb-8,77.244
sdz-18,104.41
fbxb-5,38.416
F47D12.5,65.046
F49E10.4,134.496
F52G3.4,27.154
F53A10.2,51.092
fbxb-103,241.028
F53G2.2,34.932
F53G2.8,37.594
F53H1.4,29.69
sdz-21,254.884
F55G1.15,73.318
dgn-2,76.434
F58A6.5,71.804
fbxb-25,62.514
fbxb-17,737.128
fbxb-19,118.722
fbxc-22,36.032
fbxc-21,73.296
fbxc-26,106.692
fbxb-47,68.004
F58F9.7,57.92
sdz-23,686.218
F59C12.3,26.76
H20J04.3,31.26
H24K24.2,32.488
btb-10,116.788
K02E7.12,34.352
fbxb-49,51.032
fbxb-50,135.738
fbxb-51,91.196
K05F6.4,120.18
fbxb-44,41.34
fbxb-54,257.332
set-12,50.588
rga-3,29.836
K10C9.3,38.644
btb-11,40.038
fbxb-40,85.262
M02D8.3,68.018
asns-2,165.124
atg-2,25.53
M4.1,34.546
fbxb-31,224.726
fbxb-32,119.14
R01B10.3,58.524
R02C2.1,62.06
kin-34,167.542
R02C2.6,36.454
R03E9.2,31.566
abts-4,30.276
R03H10.1,61.892
R05C11.1,45.652
R05D3.9,48.016
fbxc-28,46.798
fbxc-31,99.218
fbxb-75,54.008
R12B2.2,34.358
sdz-28,33.594
sdz-29,42.696
pcf-11,58.002
T04B8.2,49.268
T04C4.1,39.756
T04D1.2,29.578
T08B6.1,62.614
T08B6.5,712.51
fbxb-10,30.974
fbxb-81,45.268
fbxb-82,43.098
fbxb-83,103.414
fbxb-84,168.592
T17A3.12,122.902
T21F4.1,50.57
T22B2.1,227.844
atg-9,26.094
T23B3.6,42.236
T24C4.2,63.36
lgc-40,38.658
T25D10.4,45.888
T25G12.11,144.154
T27E4.1,80.238
cpt-6,39.698
W05H9.3,53.038
W06A11.2,26.698
fbxb-118,92.56
W06H8.2,105.04
W08E12.8,47.498
Y5H2B.3,239.52
fbxb-99,30.352
Y13C8A.2,71.488
Y23B4A.2,68.13
Y23H5B.8,109.588
Y25C1A.6,273.672
Y34D9A.3,43.148
Y37E11AL.9,183.778
Y37F4.5,91.03
pnc-1,87.402
Y39G10AL.1,67.032
zeel-1,25.73
epg-2,242.81
Y39G10AR.18,46.376
Y40A1A.2,83.364
Y41D4B.14,631.756
Y46H3A.5,52.22
Y47G6A.3,64.05
Y48G1BM.8,39.556
Y48G1C.6,128.98
sdz-32,242.486
fbxb-104,117.944
bath-8,57.26
bath-9,70.81
bath-23,37.714
fbxb-43,130.77
Y51H7C.12,62.102
Y52E8A.3,30.152
Y53G8AM.8,32.736
Y54F10BM.6,111.7
Y54F10BM.13,28.982
Y54G2A.16,59.81
clec-84,25.206
hel-308,34.98
Y55F3BL.1,30.014
srt-23,27.498
Y57G7A.2,149.75
Y61A9LA.3,206.318
Y67D2.6,31.288
Y71F9AL.7,94.706
Y71G10AL.1,168.156
Y71H2AM.3,46.476
Y71H2AM.17,32.57
Y73B6BL.12,28.812
Y73C8C.3,147.112
Y73C8C.8,132.246
Y76B12C.8,27.822
Y82E9BL.2,126.048
Y82E9BL.3,67.132
Y82E9BL.5,241.608
Y82E9BL.6,162.33
srt-13,71.692
btb-12,27.184
fbxb-15,243.398
fbxb-21,43.106
fbxb-20,200.382
btb-13,77.56
ZK185.1,36.856
ZK185.2,36.314
ZK354.3,62.224
ZK616.2,54.2
ZK816.1,62.796
cth-2,55.57
W09G12.3,67.976
C08A9.2,27.806
C33E10.3,85.946
D1005.t1,436.528
ZK380.t2,1146.86
D1054.17,97.908
lin-15B,31.586
F32H2.11,31.852
dlc-5,27.622
egrh-2,55.738
T21C12.8,134.74
Y38E10A.28,60.672
Y57A10C.11,133.158
fbxb-66,123.2
F28H6.8,67.752
T24D5.6,34.792
fbxb-63,120.848
H37A05.4,233.766
Y32F6A.6,65.922
fbxb-33,33.394
C16C4.17,34.694
ZC239.20,240.368
ZC239.21,628.466
fbxa-85,61.814
fbxb-91,143.956
fbxb-92,383.162
fbxb-90,129.61
ZK402.6,102.254
Y71H2AM.25,71.894
T26E3.11,90.92
ZK546.18,63.148
R151.12,25.024
K11H12.12,59.922
F43A11.8,35.932
F18E3.13,55.926
mir-785,83.662
C17D12.8,100.69
T05E12.8,194.426
D1086.19,168.592
E01G4.7,609.072
F56F4.8,659.506
T07D10.8,58.016
C25D7.16,34.372
Y59H11AR.6,112.346
Y18D10A.27,46.572
Y51A2A.15,45.408
ZK228.12,25.596
F55C9.14,92.414
C43D7.11,41.726
T20F10.8,32.63
T02G6.10,115.874
F25H5.10,27.738
T05E12.10,1497.1
F46C3.7,28.462
F49C5.12,51.156
F58D2.4,32.692
K02E2.11,50.702
E03A3.10,55.13
Y73B6BL.269,29.37
K10D2.8,43.794
F40G9.18,138.134
B0250.14,25.966
C36A4.14,140.102
C33D9.13,27.83
mir-2219,56.302
Y55F3C.13,26.342
Y57G11C.1134,120.676
Y51H4A.937,29.148
Y105C5B.1413,71.71
Y49E10.30,81.53
F42C5.12,31.034
F39E9.16,38.948
F39E9.20,32.456
F39E9.21,56.728
Y37E3.25,1364.914
F40G9.20,174.358
T24E12.13,29.95
C56E6.9,29.886
T10C6.18,31.758
Y113G7B.28,77.192
Y54G2A.58,67.312
K02D10.7,42.472
T28B11.12,25.17
R11H6.8,44.128
C02D4.9,52.824
ZK632.16,25.628
T04F8.15,44.084
WBGene00219422,28.032
WBGene00219491,29.266
WBGene00219609,27.222
WBGene00235158,115.37
