zygGene,RNA
alh-7,29.64
aqp-11,27.682
ceh-5,44.568
cfz-2,71.824
cht-1,103.122
cnd-1,53.612
cng-1,30.094
col-155,27.49
csk-1,48.834
dac-1,48.574
dao-4,26.412
dhs-17,57.066
dpy-18,27.878
dpy-28,25.036
dys-1,62.234
egl-8,28.704
fkb-7,33.89
fkh-4,105.086
fkh-5,71.604
flp-10,63.17
ggr-3,25.736
gpa-4,29.196
grl-6,44.092
gst-30,121.382
hil-3,50.708
his-4,25.862
his-8,51.396
his-31,90.878
hmg-11,56.602
hot-2,75.48
hot-3,49.656
iff-2,34.746
ins-34,54.942
ins-37,186.918
irk-3,54.776
kin-32,26.418
lec-4,39.93
lin-13,45.028
mig-15,32.674
mir-260,40.102
moc-2,64.96
nex-2,33.776
nhl-3,42.092
nhr-7,39.626
nlp-18,34.782
WBGene00003979,68.796
pes-10,315.82
pgp-4,27.268
pin-2,83.316
pqn-66,25.306
prx-2,38.134
rpl-11.2,36.54
rpl-39,53.244
rps-6,52.37
rps-21,67.728
sdc-1,26.652
ser-2,36.854
sgn-1,30.764
skr-8,275.934
skr-9,645.172
skr-10,597.846
skr-12,129.36
skr-13,192.554
skr-20,75.556
soc-1,27.574
sra-33,45.19
src-1,25.764
sri-28,28.1
srv-1,34.168
srx-88,107.822
sss-2,57.516
str-68,43.554
str-109,95.432
str-227,46.936
taf-2,26.35
tag-10,40.068
tag-53,34.624
tbx-35,345.326
tbx-39,34.132
tpa-1,54.854
tra-1,71.426
tsp-9,91.11
twk-16,27.778
twk-40,37.364
unc-5,44.664
unc-18,35.062
unc-31,25.566
vet-6,126.568
vit-5,55.866
wee-1.2,60.98
2L52.1,52.306
AH10.2,136.704
B0331.2,47.894
fbxb-119,116.836
C01G6.2,42.09
C01G12.3,121.158
C03C10.7,52.556
C05D12.4,104.698
C05D12.5,293.366
C06C3.7,250.44
mboa-4,53.402
C17E4.2,38.178
C23H4.6,45.236
C30F2.5,61.02
C33A12.12,106.46
C33D9.5,27.522
