chr	start	end	average
chrI	50001	60000	2.19315392149398
chrI	130001	140000	2.54113785648222
chrI	140001	150000	5.37807404354334
chrI	150001	160000	4.16724090856595
chrI	160001	170000	4.76834096140535
chrI	170001	180000	1.95318931383672
chrI	190001	200000	2.42943249098034
chrI	200001	210000	2.94916123742959
chrI	210001	220000	3.97444839339981
chrI	220001	230000	4.39468273316914
chrI	230001	240000	3.16614637123807
chrI	240001	250000	3.50758849436184
chrI	250001	260000	4.83266008242171
chrI	260001	270000	2.79786299285659
chrI	550001	560000	2.84012483381447
chrI	560001	570000	1.42025275403083
chrI	570001	580000	5.47255379420364
chrI	580001	590000	5.0448629637363
chrI	590001	600000	7.54710314118702
chrI	600001	610000	5.22772971096771
chrI	610001	620000	1.69593539738092
chrI	620001	630000	6.60978792494574
chrI	640001	650000	3.81004550994285
chrI	660001	670000	1.96973735867764
chrI	670001	680000	3.3542947388926
chrI	680001	690000	3.49266273929606
chrI	700001	710000	5.01219773548802
chrI	730001	740000	3.9164496201622
chrI	740001	750000	8.68144393826452
chrI	750001	760000	4.26730215618552
chrI	770001	780000	5.06050929294853
chrI	790001	800000	5.50521171424875
chrI	800001	810000	5.48199011411766
chrI	810001	820000	6.16338334218411
chrI	830001	840000	7.03186302015694
chrI	840001	850000	6.75498787955408
chrI	850001	860000	4.18768154510163
chrI	860001	870000	5.17959806419545
chrI	870001	880000	2.10328349245045
chrI	900001	910000	5.10470493494174
chrI	910001	920000	7.76620828738324
chrI	920001	930000	9.0245127800189
chrI	930001	940000	6.85900640410349
chrI	940001	950000	2.04643988837308
chrI	960001	970000	2.37371894718901
chrI	970001	980000	2.57756952307883
chrI	990001	1000000	2.20509082544957
chrI	1000001	1010000	5.15351346214437
chrI	1070001	1080000	1.04721803027343
chrI	1080001	1090000	4.28146663029344
chrI	1110001	1120000	1.85035111566008
chrI	1120001	1130000	4.04999185177748
chrI	1160001	1170000	2.62457446907487
chrI	1180001	1190000	7.20086706624029
chrI	1210001	1220000	2.68679962087787
chrI	1230001	1240000	2.07858324283769
chrI	1240001	1250000	6.54471096638974
chrI	1260001	1270000	4.61179537397722
chrI	1270001	1280000	3.31836347860332
chrI	1280001	1290000	4.35218126668899
chrI	1290001	1300000	2.91535755271535
chrI	1300001	1310000	0.864975029778103
chrI	1310001	1320000	2.73942663538874
chrI	1320001	1330000	6.37379487231981
chrI	1330001	1340000	2.88877859477671
chrI	1420001	1430000	7.52326041446031
chrI	1450001	1460000	1.19340281886471
chrI	1460001	1470000	4.1050264021068
chrI	1470001	1480000	3.23591256399474
chrI	1490001	1500000	2.84836314550235
chrI	1520001	1530000	7.51404057939872
chrI	1530001	1540000	2.92067370607045
chrI	1600001	1610000	3.0822207635973
chrI	1610001	1620000	3.35773990595221
chrI	1650001	1660000	2.1164115790242
chrI	1800001	1810000	7.82353603401414
chrI	1810001	1820000	5.63345085877141
chrI	1900001	1910000	3.30561939697336
chrI	1920001	1930000	6.5942231581701
chrI	1940001	1950000	2.2279307671858
chrI	1960001	1970000	2.43107169465815
chrI	1990001	2000000	1.84264648428338
chrI	2020001	2030000	5.41117833311906
chrI	2030001	2040000	1.22422009765707
chrI	2050001	2060000	4.53589478098447
chrI	2090001	2100000	1.56279630383716
chrI	2130001	2140000	2.53369972389532
chrI	2210001	2220000	3.30008413194363
chrI	2220001	2230000	4.65842579046678
chrI	2230001	2240000	8.20190447393636
chrI	2240001	2250000	5.51510090904796
chrI	2250001	2260000	4.47414136986283
chrI	2260001	2270000	4.77406220095427
chrI	2320001	2330000	1.86828060907669
chrI	2340001	2350000	1.74125064559871
chrI	2350001	2360000	2.97563944537304
chrI	2360001	2370000	3.96970829530817
chrI	2370001	2380000	2.30232141990458
chrI	2420001	2430000	1.86278100424257
chrI	2440001	2450000	4.67957103487998
chrI	2450001	2460000	2.66298239589562
chrI	2470001	2480000	2.84789963356289
chrI	2520001	2530000	3.78103442491257
chrI	2530001	2540000	4.29965209386974
chrI	2540001	2550000	4.09713803025153
chrI	2550001	2560000	5.16513445289973
chrI	2560001	2570000	2.32723956740467
chrI	2570001	2580000	1.82439717946256
chrI	2660001	2670000	1.39653730478644
chrI	2670001	2680000	2.75635484745425
chrI	2690001	2700000	3.80361962553394
chrI	2780001	2790000	3.75289838971719
chrI	2790001	2800000	2.82393332395565
chrI	2800001	2810000	1.23588783407659
chrI	2810001	2820000	1.75679396209918
chrI	3060001	3070000	3.08106292739418
chrI	3140001	3150000	1.81738249806402
chrI	3270001	3280000	6.33158902504619
chrI	3290001	3300000	7.28307903602027
chrI	3300001	3310000	3.76955857350525
chrI	3310001	3320000	2.2632411864416
chrI	3350001	3360000	3.58563714890816
chrI	3360001	3370000	3.62821764246632
chrI	3370001	3380000	4.01622005137046
chrI	3380001	3390000	1.27495923167673
chrI	3390001	3400000	7.03381777152791
chrI	3400001	3410000	3.18941660831873
chrI	3420001	3430000	5.10662811771352
chrI	3520001	3530000	3.07159052684533
chrI	3640001	3650000	3.52237485613721
chrI	3650001	3660000	6.00423804883005
chrI	3660001	3670000	3.22598591371396
chrI	3770001	3780000	2.64968243437124
chrI	3940001	3950000	1.8794555323313
chrI	4050001	4060000	1.56141039411261
chrI	4060001	4070000	5.901529121756
chrI	4070001	4080000	3.16225669224642
chrI	4080001	4090000	3.7939400427306
chrI	4090001	4100000	4.45255824569712
chrI	4100001	4110000	2.56954290764492
chrI	4110001	4120000	5.19776506853019
chrI	4400001	4410000	7.67844723087442
chrI	4460001	4470000	2.87278511727394
chrI	4470001	4480000	3.44776041696853
chrI	4550001	4560000	3.17091181402932
chrI	4560001	4570000	2.25516376966233
chrI	4810001	4820000	4.06808259360376
chrI	4820001	4830000	1.72538466010389
chrI	4850001	4860000	1.11525186306873
chrI	4860001	4870000	4.56150931515942
chrI	4870001	4880000	4.29457605824519
chrI	4890001	4900000	3.5092560235188
chrI	4900001	4910000	2.85483793701993
chrI	5000001	5010000	2.10855627518836
chrI	5040001	5050000	1.96374458547327
chrI	5230001	5240000	4.94534810621454
chrI	5380001	5390000	2.43817092471342
chrI	5390001	5400000	2.17897658538382
chrI	5430001	5440000	1.51892492521235
chrI	5440001	5450000	0.850943577297927
chrI	5450001	5460000	6.75690588256408
chrI	5460001	5470000	5.68632453487411
chrI	5520001	5530000	1.70330413699619
chrI	5730001	5740000	4.51717244190427
chrI	5920001	5930000	4.84519478659761
chrI	5950001	5960000	7.76980364623049
chrI	5960001	5970000	2.47325852159232
chrI	6300001	6310000	1.78615466209605
chrI	6390001	6400000	1.95438221947406
chrI	6480001	6490000	2.44380320228568
chrI	6520001	6530000	1.77896231515418
chrI	6620001	6630000	1.55891447535406
chrI	6630001	6640000	4.3435270650553
chrI	6640001	6650000	4.20573995259807
chrI	6650001	6660000	5.30716757676865
chrI	6660001	6670000	2.34239708142557
chrI	6670001	6680000	5.22933327246546
chrI	6680001	6690000	4.9570823291601
chrI	6690001	6700000	4.66672129384517
chrI	6700001	6710000	3.78796955980003
chrI	7000001	7010000	2.33971594285924
chrI	7100001	7110000	1.34785595542604
chrI	7270001	7280000	1.79362045735649
chrI	7320001	7330000	1.40548142142608
chrI	7330001	7340000	2.98521668800337
chrI	7350001	7360000	1.87809283763516
chrI	7360001	7370000	5.21137924084754
chrI	7370001	7380000	4.42617024146935
chrI	7390001	7400000	3.25741857614584
chrI	7400001	7410000	2.93376119479649
chrI	7410001	7420000	3.64034276237709
chrI	7420001	7430000	4.64434532990506
chrI	7430001	7440000	4.88396635396033
chrI	7440001	7450000	3.76500789114501
chrI	7620001	7630000	1.67441285377746
chrI	7740001	7750000	2.48592512243512
chrI	7780001	7790000	2.3635746612152
chrI	7800001	7810000	1.28018042980123
chrI	7990001	8000000	1.06041143042015
chrI	8070001	8080000	4.37257285188415
chrI	8140001	8150000	1.01776012079266
chrI	8150001	8160000	6.03353845003388
chrI	8160001	8170000	8.2071438323073
chrI	8170001	8180000	6.56441166152224
chrI	8180001	8190000	6.73539134028039
chrI	8190001	8200000	3.66438244837881
chrI	8200001	8210000	2.88157838950809
chrI	8260001	8270000	2.71459045238064
chrI	8340001	8350000	2.05396333241772
chrI	8440001	8450000	2.34169433268212
chrI	8460001	8470000	4.8295398272383
chrI	8470001	8480000	6.67685177218758
chrI	8550001	8560000	1.80560905851411
chrI	8890001	8900000	1.73034942430176
chrI	8930001	8940000	3.62943826939527
chrI	8940001	8950000	5.46040892275383
chrI	8950001	8960000	3.62579543013513
chrI	8990001	9000000	1.54030351770549
chrI	9030001	9040000	2.90443530187068
chrI	9190001	9200000	1.23719540661851
chrI	9200001	9210000	2.71805020396723
chrI	9350001	9360000	2.87250655875872
chrI	9800001	9810000	4.07939112640212
chrI	9810001	9820000	7.0865975756796
chrI	10010001	10020000	1.45470053226398
chrI	10140001	10150000	5.78055583193815
chrI	10150001	10160000	2.14893858490988
chrI	10240001	10250000	6.71477144328027
chrI	10260001	10270000	1.10575202910088
chrI	10270001	10280000	6.45432300882649
chrI	10320001	10330000	2.37293477834048
chrI	10490001	10500000	1.29451068315122
chrI	10690001	10700000	3.06497544447663
chrI	10700001	10710000	3.7087067889435
chrI	10860001	10870000	3.42983272512454
chrI	10870001	10880000	2.24298419507696
chrI	10880001	10890000	4.39871477314823
chrI	10900001	10910000	2.88139163102898
chrI	10910001	10920000	6.09792382665069
chrI	10950001	10960000	4.13768468539101
chrI	10980001	10990000	1.8005228947407
chrI	10990001	11000000	2.39501093325151
chrI	11000001	11010000	5.10147483052159
chrI	11020001	11030000	3.66947318277745
chrI	11030001	11040000	5.8325024439642
